# Parameters:
# (Omega_m)*h^2 = 0.143050, (Omega_b)*h^2 = 0.022032, n_s = 0.961900, sigma_8 = 0.834700, w = -1.000000
# z = 0.000000
#
# sound horizon: 144.419 Mpc
# z_lss: 1092.41
# d_lss from CMB: 13901.3 Mpc
# dimensionless Hubble parameter derived from CMB constraint: 0.666
#
# k[1/Mpc] P(k):
0.004833 63186.683078 
0.006835 74760.707995 
0.008371 79900.423983 
0.009666 82223.881247 
0.010810 83028.706973 
0.011840 83038.852834 
0.014260 80598.082918 
0.015280 78698.224108 
0.016210 76688.560227 
0.017860 72862.973324 
0.019330 69271.925934 
0.020170 67157.067549 
0.021340 64200.745161 
0.022320 61775.545842 
0.023680 58545.438516 
0.024650 56367.541284 
0.026210 53096.113235 
0.027680 50318.762362 
0.028530 48859.342561 
0.029700 47023.235143 
0.031000 45199.138652 
0.032200 43684.320383 
0.032880 42888.033243 
0.034240 41411.314763 
0.035550 40122.273465 
0.036860 38957.502368 
0.037950 38077.250568 
0.039290 37095.941825 
0.040400 36355.305372 
0.041640 35584.914291 
0.042940 34819.225623 
0.044150 34121.451882 
0.045430 33381.194309 
0.046610 32679.735250 
0.047820 31934.061929 
0.048930 31224.966587 
0.050310 30301.709939 
0.051560 29437.953767 
0.052380 28860.943998 
0.053780 27855.083600 
0.055130 26883.134250 
0.056280 26060.696910 
0.057350 25307.068405 
0.058700 24380.750686 
0.059890 23594.282496 
0.061140 22803.878147 
0.062260 22130.196767 
0.063400 21480.960278 
0.064800 20735.630718 
0.066010 20138.107109 
0.067250 19570.602528 
0.068290 19128.906855 
0.069590 18618.734708 
0.070710 18215.084387 
0.071920 17812.235596 
0.073070 17462.198806 
0.074120 17164.596561 
0.075500 16805.344998 
0.076630 16533.963281 
0.077910 16246.699666 
0.079130 15990.480695 
0.080280 15760.348045 
0.081380 15548.432921 
0.082720 15297.505566 
0.084060 15051.560816 
0.085340 14817.140957 
0.086540 14597.135924 
0.087600 14400.260072 
0.089000 14136.141925 
0.090090 13927.077483 
0.091130 13724.671562 
0.092400 13472.352707 
0.093580 13235.311911 
0.094960 12955.798491 
0.096080 12727.942241 
0.097280 12484.445257 
0.098530 12233.206602 
0.099740 11993.717498 
0.100900 11769.004148 
0.102100 11542.896101 
0.103400 11306.492411 
0.104600 11097.051273 
0.105700 10912.912013 
0.106900 10721.921303 
0.108200 10525.852226 
0.109400 10355.081071 
0.110500 10206.401959 
0.111700 10053.655100 
0.113000 9897.825520 
0.114200 9761.966250 
0.115300 9643.320197 
0.116600 9510.548128 
0.117800 9393.444029 
0.119000 9280.727084 
0.120100 9181.175935 
0.121300 9075.408771 
0.122700 8955.324477 
0.123900 8854.447033 
0.125100 8755.237527 
0.126300 8656.863258 
0.127600 8551.458483 
0.128800 8454.718692 
0.130000 8358.509838 
0.131100 8270.547270 
0.132400 8167.235661 
0.133600 8072.102270 
0.134700 7985.581354 
0.136000 7883.605150 
0.137200 7790.530618 
0.138400 7698.143454 
0.139600 7606.879141 
0.140800 7516.906995 
0.142000 7428.218662 
0.143300 7333.979262 
0.144400 7255.802598 
0.145600 7172.350722 
0.146900 7084.108824 
0.148000 7011.357823 
0.149200 6934.176732 
0.150400 6859.098620 
0.151600 6786.113464 
0.152800 6715.464214 
0.154000 6646.941497 
0.155200 6580.379804 
0.156400 6515.705430 
0.157700 6447.868570 
0.158900 6386.949026 
0.160100 6327.537073 
0.161300 6269.508245 
0.162500 6212.770075 
0.163800 6152.570738 
0.165000 6098.009045 
0.166200 6044.330347 
0.167400 5991.444936 
0.168500 5943.589334 
0.169800 5887.718081 
0.171000 5836.777086 
0.172200 5786.430198 
0.173400 5736.666749 
0.174600 5687.488828 
0.175900 5634.891415 
0.177100 5586.968884 
0.178300 5539.677768 
0.179500 5493.033680 
0.180700 5447.081579 
0.181900 5401.841466 
0.183000 5361.009558 
0.184200 5317.183076 
0.185500 5270.556998 
0.186700 5228.304620 
0.187900 5186.812102 
0.189100 5146.074802 
0.190300 5106.079894 
0.191500 5066.814490 
0.192700 5028.260309 
0.193900 4990.395942 
0.195200 4950.122436 
0.196300 4916.630007 
0.197500 4880.682766 
0.198800 4842.397074 
0.200000 4807.636474 
0.201300 4770.575999 
0.202300 4742.472032 
0.203600 4706.441880 
0.204900 4670.952218 
0.206000 4641.330593 
0.207200 4609.424633 
0.208400 4577.934293 
0.209700 4544.271055 
0.210900 4513.606162 
0.212100 4483.322679 
0.213300 4453.418844 
0.214500 4423.891949 
0.215700 4394.739243 
0.216900 4365.957719 
0.218100 4337.549823 
0.219300 4309.515303 
0.220600 4279.564931 
0.221800 4252.307327 
0.223000 4225.425288 
0.224100 4201.127781 
0.225400 4172.817165 
0.226500 4149.209899 
0.227700 4123.818644 
0.229000 4096.735149 
0.230200 4072.121900 
0.231400 4047.893585 
0.232600 4024.048376 
0.233800 4000.566471 
0.235000 3977.441668 
0.236200 3954.669177 
0.237400 3932.242391 
0.238600 3910.187210 
0.239900 3886.667870 
0.241000 3867.067061 
0.242200 3845.986251 
0.243500 3823.498331 
0.244700 3803.063750 
0.245900 3782.932115 
0.247100 3763.078427 
0.248300 3743.493978 
0.249600 3722.575747 
0.250800 3703.541316 
0.252000 3684.753387 
0.253200 3666.197959 
0.254400 3647.868734 
0.255600 3629.761356 
0.256800 3611.865655 
0.258000 3594.171248 
0.259200 3576.672250 
0.260400 3559.361289 
0.261600 3542.229391 
0.262800 3525.271980 
0.264100 3507.094020 
0.265200 3491.859526 
0.266400 3475.386970 
0.267600 3459.070772 
0.268800 3442.907413 
0.270100 3425.545669 
0.271200 3410.985039 
0.272500 3393.931014 
0.273700 3378.327011 
0.274900 3362.844222 
0.276100 3347.495909 
0.277300 3332.281243 
0.278500 3317.171804 
0.279700 3302.192098 
0.280900 3287.341920 
0.282100 3272.597713 
0.283400 3256.761930 
0.284600 3242.272050 
0.285800 3227.895808 
0.287000 3213.629548 
0.288200 3199.486203 
0.289400 3185.456398 
0.290600 3171.534643 
0.291900 3156.588081 
0.293000 3144.045647 
0.294200 3130.465756 
0.295400 3117.006103 
0.296700 3102.549759 
0.297900 3089.318615 
0.299000 3077.295335 
0.300300 3063.203145 
0.301500 3050.310579 
0.302700 3037.534419 
0.303800 3025.915936 
0.305000 3013.350914 
0.306300 2999.864547 
0.307500 2987.527303 
0.308700 2975.302867 
0.309900 2963.186551 
0.311100 2951.178109 
0.312300 2939.279793 
0.313500 2927.488171 
0.314700 2915.802769 
0.316000 2903.263136 
0.317200 2891.798549 
0.318400 2880.439163 
0.319600 2869.182576 
0.320800 2858.027919 
0.322000 2846.975591 
0.323200 2836.025166 
0.324400 2825.175290 
0.325700 2813.530614 
0.326900 2802.884361 
0.328100 2792.334523 
0.329200 2782.749283 
0.330500 2771.522871 
0.331700 2761.257101 
0.332900 2751.083483 
0.334100 2741.000502 
0.335400 2730.180212 
0.336500 2721.106230 
0.337700 2711.291616 
0.338900 2701.563324 
0.340200 2691.120541 
0.341400 2681.568475 
0.342500 2672.885325 
0.343800 2662.712892 
0.345000 2653.407677 
0.346200 2644.181481 
0.347400 2635.034338 
0.348600 2625.963931 
0.349800 2616.969735 
0.351000 2608.051157 
0.352200 2599.205180 
0.353400 2590.434520 
0.354600 2581.734151 
0.355800 2573.106606 
0.357100 2563.836776 
0.358300 2555.353363 
0.359500 2546.936650 
0.360700 2538.587107 
0.361900 2530.303103 
0.363100 2522.083864 
0.364300 2513.929067 
0.365600 2505.164329 
0.366700 2497.807261 
0.368000 2489.175452 
0.369200 2481.273718 
0.370400 2473.427719 
0.371600 2465.644473 
0.372800 2457.915124 
0.374000 2450.246191 
0.375200 2442.630382 
0.376400 2435.072753 
0.377600 2427.566929 
0.378800 2420.117715 
0.380000 2412.719507 
0.381200 2405.375940 
0.382400 2398.081991 
0.383600 2390.841407 
0.384900 2383.052405 
0.386000 2376.508858 
0.387200 2369.416008 
0.388500 2361.788344 
0.389600 2355.376881 
0.390900 2347.852252 
